level0;level1;level2;level3
Cambodia;Southeastern-Asia;Asia;ALL
Canada;Canada;North-America;ALL
China;Eastern-Asia;Asia;ALL
Columbia;Northern-South-America;South-America;ALL
Cuba;Caribbean;South-America;ALL
Dominican-Republic;Caribbean;South-America;ALL
Ecuador;Western-South-America;South-America;ALL
El-Salvador;El-Salvador;Middle-America;ALL
England;Western-Europe;Europe;ALL
France;Western-Europe;Europe;ALL
Germany;Central-Europe;Europe;ALL
Greece;Southern-Europe;Europe;ALL
Guatemala;Guatemala;Middle-America;ALL
Haiti;Caribbean;South-America;ALL
Holand-Netherlands;Western-Europe;Europe;ALL
Honduras;Honduras;Middle-America;ALL
Hong;Eastern-Asia;Asia;ALL
Hungary;Central-Europe;Europe;ALL
India;Southern-Asia;Asia;ALL
Iran;Middle-East;Asia;ALL
Ireland;Western-Europe;Europe;ALL
Italy;Southern-Europe;Europe;ALL
Jamaica;Caribbean;South-America;ALL
Japan;Eastern-Asia;Asia;ALL
Laos;Southeastern-Asia;Asia;ALL
Mexico;Mexico;Middle-America;ALL
Nicaragua;Nicaragua;Middle-America;ALL
Outlying-US(Guam-USVI-etc);USA;North-America;ALL
Peru;Western-South-America;South-America;ALL
Philippines;Southeastern-Asia;Asia;ALL
Poland;Central-Europe;Europe;ALL
Portugal;Southwestern-Europe;Europe;ALL
Puerto-Rico;Caribbean;South-America;ALL
Scotland;Western-Europe;Europe;ALL
South;Eastern-Asia;Asia;ALL
Taiwan;Eastern-Asia;Asia;ALL
Thailand;Southeastern-Asia;Asia;ALL
Trinadad&Tobago;Caribbean;South-America;ALL
United-States;USA;North-America;ALL
Vietnam;Southeastern-Asia;Asia;ALL
Yugoslavia;Southeastern-Europe;Europe;ALL
